기존 재료,대체 재료,정량 치환 비율,기대 효과,근거
연유 20g,무가당 그릭요거트 30g,1:1.5,"당류 ↓, 단백질 ↑",영양DB
초코 스프레드 20g,땅콩버터(무가당) 20g,1:1,"당류 ↓, 포만감 ↑",제품 성분표
설탕 시럽 20g,계피·코코아 파우더 2–3g,대체,향 보강으로 단맛 의존 ↓,조리 팁
아이스크림 100g,무가당 그릭요거트 100g + 블루베리 30g,1:1+추가,"당류 ↓, 단백질 ↑",Diabetes Care
아이스크림 100g,바나나 아이스크림(냉동 바나나 100g 블렌드),1:1,첨가당 ↓,레시피 비교
가당 요거트 150g,무가당 요거트 150g,1:1,당류 ↓,제품 성분표
우유(가당) 200ml,우유(무가당) 200ml,1:1,당류 ↓,제품 성분표
밀크 초콜릿 30g,다크초콜릿(85%↑) 20–30g,0.7~1:1,"당류 ↓, 항산화 ↑",제품 성분표
요거트 음료 200ml,프로틴 요거트 음료(무가당) 200ml,1:1,"당류 ↓, 단백질 ↑",제품 성분표
크림치즈 스프레드 20g,리코타/코티지치즈 25g,1:1.25,"지방 ↓, 단백질 ↑",영양DB
가공 소시지 50g,닭가슴살 60g,1:1.2,"포화지방 ↓, 단백질 ↑",영양DB
가공 소시지 50g,두부 80g,1:1.6,"포화지방 ↓, 단백질/칼슘",영양DB
햄 50g,병아리콩 패티 80g,1:1.6,"섬유소 ↑, 포화지방 ↓",영양DB
베이컨 30g,훈제 닭가슴살 40g,1:1.3,포화지방 ↓,영양DB
튀김용 돈가스 150g,에어프라이 돈가스 150g(빵가루 최소),1:1(조리법),지방 ↓,조리법 연구
분쇄육(지방多) 100g,분쇄육(저지방) 100g,1:1,지방 ↓,제품 성분표
감자 150g,고구마 150g(에어프라이),1:1,"GI ↓(품종에 따라), 섬유소 ↑",GI DB
감자 150g,호박 200g,1:1.3,"탄수 ↓, 칼로리 ↓",영양DB
옥수수캔 50g,완두/병아리콩 60g,1:1.2,섬유소·단백질 ↑,USDA DB
크루통 15g,견과류 10g,1:0.66,"당류 ↓, 건강한 지방 ↑",영양DB
마요네즈 20g,요거트 드레싱 25g(무가당),1:1.25,지방 ↓,레시피 비교
설탕 절임 피클 30g,식초+허브 피클 30g(무가당),1:1,당류 ↓,조리 팁
시판 불고기 양념 30g,간장 10g + 배·양파 간 것 20g,1:1(총량),"첨가당 ↓, 자연 단맛",한식 조리
고추장 20g(가당),된장 10g + 고춧가루 5g + 식초 5g,대체,당류 ↓,제품/영양 비교
떡볶이 소스 50g,토마토퓨레 35g + 고춧가루 10g + 간장 5g,대체,당류 ↓,조리 팁
케첩 15g,무가당 토마토퓨레 15g + 허브,1:1(+허브),"당류 ↓, 나트륨 ↓",식약처 DB
굴소스 10g,간장 8g + 표고가루 2g,대체,"당류 ↓, 감칠맛 유지",조리 팁
설탕 양념 10g,양파·대파 볶음 단맛 20g,대체,첨가당 ↓,조리 팁
사골곰탕 베이스 30g(시판),맑은 육수 30g + 향채,1:1,숨은 당·나트륨 ↓,제품 성분표
된장찌개 설탕 5g,호박·양파 추가 50g,대체,"자연 단맛, 당류 ↓",한식 조리
김치찌개 설탕 5g,토마토 40g 추가,대체,"산미·단맛 균형, 당류 ↓",레시피 팁
튀김 조리,에어프라이/오븐,-,"지방 ↓, 총 GL 개선",조리법 연구
볶음(설탕 코팅),구이/찜 + 향신료,-,첨가당 ↓,조리법 연구
카라멜라이즈드 양파(설탕),저온 오래 볶기(무가당),-,당류 ↓,조리 팁
양념치킨(단짠),구운 치킨 + 허브/마늘,-,당류 ↓,레시피 비교
탄산음료 355ml,제로 탄산 355ml,1:1,당류 ↓,제품 성분표
과일주스 200ml,탄산수 200ml + 레몬조각,대체,당류 ↓,카페 레시피
라떼(시럽 20g 포함),라떼(무가당) + 시나몬,대체,당류 ↓,카페 레시피
스무디(가당 요거트),스무디(무가당 요거트 + 과일),대체,당류 ↓,제품 성분표
밀크티(가당) 350ml,무가당 블랙티 + 우유 소량,대체,당류 ↓,카페 레시피
가당 시리얼 30g,오트밀 30g,1:1,"GI ↓, 당류 ↓",한국영양학회
그래놀라(가당) 40g,무가당 그래놀라 40g,1:1,당류 ↓,제품 성분표
잼 20g,아보카도 30g,대체,"당류 ↓, 건강한 지방 ↑",영양DB
딸기잼 20g,딸기 슬라이스 40g,대체,첨가당 ↓,영양DB
땅콩버터(가당) 20g,땅콩버터(무가당) 20g,1:1,당류 ↓,제품 성분표
후레이크 30g,통귀리 30g,1:1,"섬유소 ↑, GI ↓",USDA DB
쿠키(가당) 30g,견과 20g + 씨앗 10g,대체,"당류 ↓, 포만감 ↑",영양DB
케이크 60g,요거트 파르페(무가당) 120g,대체,당류 ↓,레시피 비교
칩스 30g,김부각(무가당) 10g,대체,"당류 ↓, 칼로리 ↓",제품 성분표
에너지바(가당) 40g,견과+씨앗 바(무가당) 35g,대체,당류 ↓,제품 성분표
팝콘(가당) 20g,에어팝 팝콘(무가당) 20g,1:1,당류 ↓,제품 성분표
수박 200g,베리류 150g,대체,"당류 ↓, 섬유소 ↑",GI/GL 데이터
바나나 120g,사과 150g,대체,GL ↓,GI/GL 데이터
포도 150g,키위 120g,대체,"GL ↓, 섬유소 ↑",GI/GL 데이터
망고 150g,복숭아 150g,대체,GL ↓(품종 의존),GI/GL 데이터
말린 과일 30g,생과일 120g,대체,당류 ↓,영양DB
비빔밥 흰밥 200g,비빔밥 현미밥 150g + 채소 100g,200:250,"GI/GL ↓, 포만감 ↑",레시피 비교
카레(시판) 200g,토마토·향신료 카레 200g(무가당),1:1,당류 ↓,제품 성분표
덮밥 소스(가당) 50g,간장 15g + 양파 35g,대체,첨가당 ↓,조리 팁
잡채(당면 150g),잡채(실곤약 150g),1:1,탄수 ↓,제품 성분표
유부초밥(가당 식초),현미초밥(무가당 식초),1:1,당류 ↓,제품 성분표
